#Param Name	Include	Nominal	Low	High
elasmu	1	1.45	1.16	1.74
prstp	1	0.015	0.012	0.018
gama	0	0.3	0.24	0.36
pop0	1	7403	7255	7551
popadj	1	0.134	0.067	0.201
popasym	1	11500	9200	13800
dk	0	0.1	0	0
q0	1	105.5	100.23	110.78
k0	0	223	0	0
a0	0	5.115	0	0
ga0	1	0.076	0.076	0.0912
dela	1	0.005	0.004	0.006
gsigma1	1	-0.0152	-0.01824	-0.014
dsig	1	-0.001	-0.0015	-0.0005
eland0	1	2.6	2.08	3.12
deland	1	0.115	0.092	0.138
e0	1	35.85	34.06	37.64
miu0	0	0.03	0	0
mat0	1	851	825.6	869
mu0	0	460	0	0
ml0	0	1740	0	0
mateq	0	588	0	0
mueq	0	360	0	0
mleq	0	1720	0	0
b12	1	0.12	0.096	0.144
b23	1	0.007	0.0056	0.0084
t2xco2	1	2.998167966	0	1
fex0	1	0.5	0.4	0.6
fex1	1	1	0.8	1.2
fco22x	1	3.6813	3.6	3.9
a10	0	0	0	0
a20	0	0.00236	0	0
a1	1	0	0	0.001
a2	1	0.00236	0.002255	0.003123
a3	1	2	1.5	3
expcost2	1	2.6	2.414	2.786
pback	1	550	440	660
gback	1	0.025	0.0225	0.0275
limmiu	0	1.2	0	0
tnopol	0	45	0	0
cprice0	0	2	0	0
gcprice	0	0.02	0	0
fosslim	0	6000	0	0
