#Param Name	Include	Nominal	Low	High
elasmu	1	1.45	1.16	1.74
prstp	1	0.015	0.012	0.018
gama	0	0.3	0	0
pop0	1	6838	6701	6975
popadj	1	0.134	0.1072	0.1608
popasym	1	10500	8400	12600
dk	0	0.1	0	0
q0	1	63.69	60.51	66.87
k0	0	135	0	0
a0	0	3.8	0	0
ga0	1	0.079	0.079	0.0948
dela	1	0.006	0.0048	0.0072
gsigma1	1	-0.01	-0.016	-0.007
dsig	1	-0.001	-0.0015	-0.0005
eland0	1	3.3	2.7	3.96
deland	1	0.2	0.16	0.24
e0	1	33.61	31.93	35.29
miu0	0	0.039	0	0
mat0	1	830.4	805.6	848
mu0	0	1527	0	0
ml0	0	10010	0	0
mateq	0	588	0	0
mueq	0	1350	0	0
mleq	0	10000	0	0
b12	1	0.088	0.072	0.104
b23	1	0.0025	0.002	0.003
t2xco2	1	0.5	0	1
fex0	1	0.25	0.2	0.3
fex1	1	0.7	0.56	0.84
fco22x	1	3.8	3.6	3.9
a10	0	0	0	0
a20	0	0.00267	0	0
a1	1	0	0	0.001
a2	1	0.00267	0.002255	0.003123
a3	1	2	1.6	2.4
expcost2	1	2.8	2.6	3
pback	1	344	275.2	412.8
gback	1	0.025	0.0225	0.0275
limmiu	0	1.2	0	0
tnopol	0	45	0	0
cprice0	0	1	0	0
gcprice	0	0.02	0	0
periodfullpart	0	21	0	0
partfract2010	0	1	0	0
partfractfull	0	1	0	0
fosslim	0	6000	0	0
